num_csv,nome_csv,conciliado,num_pokedex,motivo
1,Bulbasaur,True,1,
2,Ivysaur,True,2,
3,Venusaur,True,3,
4,Mega Venusaur,True,3,
5,Charmander,True,4,
6,Charmeleon,True,5,
7,Charizard,True,6,
8,Mega Charizard X,True,6,
9,Mega Charizard Y,True,6,
10,Squirtle,True,7,
11,Wartortle,True,8,
12,Blastoise,True,9,
13,Mega Blastoise,True,9,
14,Caterpie,True,10,
15,Metapod,True,11,
16,Butterfree,True,12,
17,Weedle,True,13,
18,Kakuna,True,14,
19,Beedrill,True,15,
20,Mega Beedrill,True,15,
21,Pidgey,True,16,
22,Pidgeotto,True,17,
23,Pidgeot,True,18,
24,Mega Pidgeot,True,18,
25,Rattata,True,19,
26,Raticate,True,20,
27,Spearow,True,21,
28,Fearow,True,22,
29,Ekans,True,23,
30,Arbok,True,24,
31,Pikachu,True,25,
32,Raichu,True,26,
33,Sandshrew,True,27,
34,Sandslash,True,28,
35,Nidoran♀,True,29,
36,Nidorina,True,30,
37,Nidoqueen,True,31,
38,Nidoran♂,True,32,
39,Nidorino,True,33,
40,Nidoking,True,34,
41,Clefairy,True,35,
42,Clefable,True,36,
43,Vulpix,True,37,
44,Ninetales,True,38,
45,Jigglypuff,True,39,
46,Wigglytuff,True,40,
47,Zubat,True,41,
48,Golbat,True,42,
49,Oddish,True,43,
50,Gloom,True,44,
51,Vileplume,True,45,
52,Paras,True,46,
53,Parasect,True,47,
54,Venonat,True,48,
55,Venomoth,True,49,
56,Diglett,True,50,
57,Dugtrio,True,51,
58,Meowth,True,52,
59,Persian,True,53,
60,Psyduck,True,54,
61,Golduck,True,55,
62,Mankey,True,56,
63,,False,,sem nome
64,Growlithe,True,58,
65,Arcanine,True,59,
66,Poliwag,True,60,
67,Poliwhirl,True,61,
68,Poliwrath,True,62,
69,Abra,True,63,
70,Kadabra,True,64,
71,Alakazam,True,65,
72,Mega Alakazam,True,65,
73,Machop,True,66,
74,Machoke,True,67,
75,Machamp,True,68,
76,Bellsprout,True,69,
77,Weepinbell,True,70,
78,Victreebel,True,71,
79,Tentacool,True,72,
80,Tentacruel,True,73,
81,Geodude,True,74,
82,Graveler,True,75,
83,Golem,True,76,
84,Ponyta,True,77,
